season,district,site,field_lati,field_long,site_latit,site_longi,block_id,seed_id,seed_rate_,seed_cost_,yield_t_ha,EnvIndex_t,RelYield__,profit_USD,wi,slope,sipi91_432,sipi8,sipi7,savi9,savi81_432,savi7,npcri9,npcri8,nprci7,ndwi9,ndwi8,ndwi7,ndvi7,gci9,gci8,gci7,evi9,evi8,evi7,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,bsi9,bsi8,bsi7,bi8,bi7,aspect,arvi9,arvi8,arvi7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
LR2018,Ndalu,Lungai,0.776823,34.89887,0.779332,34.90301,42029,scduma43,7.14,52,6.45,6,7.5,1957.785,6.96629,1.67011,1.16258,1.12637,1.07171,0.40432,0.41111,1.07171,0.32201,0.30364,0.27047,-0.59152,-0.60703,-0.67904,0.74803,2.89618,3.08943,4.23122,0.40733,0.41498,0.52708,1723,2648,3224,3265,2994,2683,1425,817,838,419,1244,2128,3011,2706,2397,1344,3018,344,738,644,3552,294,679,512,1036,1887,3490,3262,2722,1130,0.33657,0.14484,0.08552,0.30859,0.35887,33.69007,0.38548,0.44602,0.57947,-14.94702,-8.39895,-13.09232,-7.90257,-13.07522,-8.6541,6.54807,1.77963,5.18975,5.18975,4.42112,1.51087,0,0,0,0,0,0,0,0,0,0,-14.94702,-8.39895,-13.09232,-7.90257,-13.07522,-8.6541,6.54807,1.77963,5.18975,5.18975,4.42112,1.51087,9445,6840,3215,2502,2539,4164,1771,1911,464,647
LR2018,Ndalu,Lungai,0.78095,34.90009,0.779332,34.90301,42031,scduma43,7.14,52,3.88,3.645,6.447188,1112.729,5.73518,5.70288,1.35036,1.09364,1.09918,0.28191,0.46689,1.09918,0.36279,0.2658,0.2378,-0.50889,-0.61616,-0.59004,0.65953,2.07238,3.21046,2.8785,0.26858,0.48786,0.42048,2003,3005,3378,2759,3072,2649,1559,1095,898,512,1327,2503,3921,3470,3121,1428,3461,366,822,631,2905,367,749,596,948,1762,3018,2961,2565,1186,0.29684,0.09621,0.125,0.35181,0.29655,21.37062,0.19795,0.50403,0.46595,-15.92211,-9.04002,-16.61079,-9.50678,-17.89736,-12.67646,6.8821,1.76129,7.10401,7.10401,5.2209,1.41186,0,0,0,0,0,0,0,0,0,0,-15.92211,-9.04002,-16.61079,-9.50678,-17.89736,-12.67646,6.8821,1.76129,7.10401,7.10401,5.2209,1.41186,10317,7292,2920,1587,1264,4321,1700,1855,325,482
LR2018,Ndalu,Lungai,0.78801,34.90419,0.779332,34.90301,42037,scduma43,4.44,32,6.03,6.3925,-5.67071,1820.588,6.73855,4.18822,1.35229,1.21085,1.05096,0.28701,0.34029,1.05096,0.43178,0.31804,0.1967,-0.52802,-0.54412,-0.69154,0.76333,2.2375,2.3871,4.48393,0.26409,0.33641,0.51351,1650,2459,2639,2590,2417,2123,1252,955,800,379,1106,1980,2832,2642,2264,1222,2835,446,837,862,3241,292,591,435,852,1683,3240,3039,2434,921,0.27605,0.21958,0.10319,0.29632,0.32701,173.65981,0.21705,0.31109,0.60481,-14.43836,-9.41996,-13.79219,-6.79796,-14.12397,-7.10476,5.0184,1.53274,6.99423,6.99423,7.01921,1.98796,0,0,0,0,0,0,0,0,0,0,-14.43836,-9.41996,-13.79219,-6.79796,-14.12397,-7.10476,5.0184,1.53274,6.99423,6.99423,7.01921,1.98796,8437,6285,3754,2024,2300,4010,1743,1665,617,577
LR2018,Ndalu,Lungai,0.778967,34.90736,0.779332,34.90301,42039,scduma43,6.66,49,5.3,4.5875,15.53134,1579.14,6.4433,2.8161,1.21176,1.11732,1.07078,0.37729,0.43187,1.07078,0.33423,0.31356,0.24284,-0.54978,-0.59018,-0.6451,0.73408,2.44227,2.88025,3.63533,0.37664,0.43702,0.49309,1954,3002,3404,3339,3208,2825,1597,992,970,495,1140,2074,3169,2821,2644,1201,3143,324,810,620,3254,304,702,499,959,1831,3402,3222,2707,1103,0.34832,0.0764,0.06711,0.32036,0.3292,80.53768,0.31798,0.47313,0.5619,-15.01585,-8.4691,-14.15096,-9.57062,-15.3623,-7.29941,6.54675,1.77302,4.58034,4.58034,8.06289,2.10459,0,0,0,0,0,0,0,0,0,0,-15.01585,-8.4691,-14.15096,-9.57062,-15.3623,-7.29941,6.54675,1.77302,4.58034,4.58034,8.06289,2.10459,9625,7207,3062,2596,2004,4009,1741,1975,380,650
LR2018,Ndalu,Lungai,0.770523,34.8984,0.779332,34.90301,42043,scduma43,5.33,39,3.45,3.465,-0.4329,970.0445,9.58238,2.19672,1.29588,1.1765,1.10429,0.29698,0.3283,1.10429,0.31758,0.33478,0.29066,-0.51057,-0.56953,-0.62696,0.68348,2.08639,2.64606,3.36133,0.2921,0.31732,0.46028,2391,3292,3012,2858,2720,2412,1595,1087,926,563,1221,2087,2344,2099,1801,1078,2359,306,647,614,3271,338,750,615,1095,2015,3248,2969,2573,1253,0.30577,0.17422,0.1192,0.24376,0.33283,18.43495,0.22288,0.36912,0.49163,-12.63638,-7.98987,-14.2058,-9.06787,-15.49182,-10.85494,4.64651,1.58155,5.13793,5.13793,4.63688,1.42717,0,0,0,0,0,0,0,0,0,0,-12.63638,-7.98987,-14.2058,-9.06787,-15.49182,-10.85494,4.64651,1.58155,5.13793,5.13793,4.63688,1.42717,8180,7208,3385,2768,2414,4192,1689,2327,513,538
LR2018,Ndalu,Lungai,0.778144,34.88645,0.779332,34.90301,43540,scduma43,7.14,52,4.2,4.0775,3.004292,1216.98,7.74845,3.81512,1.16961,1.12648,1.06662,0.39512,0.37048,1.06662,0.32474,0.35965,0.247,-0.57576,-0.64169,-0.68126,0.74832,2.71429,3.58175,4.2748,0.39633,0.35866,0.49835,1552,2513,3231,3198,3015,2722,1472,822,861,419,1119,2024,2931,2743,2471,1188,2410,219,526,465,3244,282,615,467,977,1836,3523,3264,2720,1060,0.3302,0.13058,0.09824,0.24544,0.32774,14.03624,0.37502,0.47738,0.58117,-11.83985,-8.70627,-11.92351,-8.04366,-12.64569,-9.32695,3.13358,1.35992,3.87985,3.87985,3.31874,1.35582,0,0,0,0,0,0,0,0,0,0,-11.83985,-8.70627,-11.92351,-8.04366,-12.64569,-9.32695,3.13358,1.35992,3.87985,3.87985,3.31874,1.35582,9188,6500,3232,2685,2611,4117,1904,2049,408,651
LR2018,Ndalu,Lungai,0.771188,34.90053,0.779332,34.90301,43543,scduma43,7.14,52,7.08,6.8275,3.698279,2166.312,7.04479,4.62331,1.09861,1.07734,1.07977,0.47767,0.45747,1.07977,0.37687,0.31132,0.32581,-0.72074,-0.70797,-0.70344,0.75495,5.16171,4.84872,4.74403,0.47989,0.46254,0.503,1444,2313,3073,3315,2834,2372,1110,506,538,229,909,1657,2672,2574,2116,834,2977,219,509,417,3366,239,586,470,875,1684,3136,2967,2392,870,0.33534,0.11092,0.09498,0.30061,0.33987,0,0.55575,0.5861,0.58636,-12.91787,-8.17828,-13.43813,-8.56335,-11.96937,-7.19142,4.73959,1.57953,4.87477,4.87477,4.77795,1.6644,0,0,0,0,0,0,0,0,0,0,-12.91787,-8.17828,-13.43813,-8.56335,-11.96937,-7.19142,4.73959,1.57953,4.87477,4.87477,4.77795,1.6644,8765,5917,3087,2708,2544,4152,1476,2110,671,707
LR2018,Ndalu,Lungai,0.782744,34.90867,0.779332,34.90301,43544,scduma43,4.44,32,5.15,5.355,-3.8282,1529.758,7.8192,4.26386,1.44755,1.1829,1.13028,0.24053,0.34772,1.13028,0.44089,0.32962,0.31343,-0.52882,-0.5611,-0.62928,0.64685,2.2447,2.55689,3.39491,0.21667,0.34063,0.43721,1751,2536,2551,2294,2514,2161,1356,969,707,376,1176,2022,2895,2547,2250,1253,2657,361,747,716,3283,368,747,704,1129,1938,3374,3194,2671,1244,0.24903,0.18092,0.17867,0.27518,0.33576,54.46232,0.15885,0.3564,0.44337,-13.72644,-9.99463,-13.76392,-7.17425,-13.74881,-9.61808,3.73182,1.37338,6.58967,6.58967,4.13073,1.42948,0,0,0,0,0,0,0,0,0,0,-13.72644,-9.99463,-13.76392,-7.17425,-13.74881,-9.61808,3.73182,1.37338,6.58967,6.58967,4.13073,1.42948,8463,6595,3797,1979,2739,3999,1907,2104,517,707
LR2018,Ndalu,Lungai,0.785885,34.90305,0.779332,34.90301,58133,scduma43,5.33,39,6.27,5.555,12.87129,1897.43,5.85294,5.07287,1.37588,1.13659,1.07879,0.27515,0.39087,1.07879,0.43279,0.3107,0.25971,-0.54396,-0.57959,-0.65983,0.72349,2.38554,2.75726,3.87934,0.25196,0.39043,0.48288,1769,2556,2713,2529,2674,2348,1256,970,747,384,1045,1888,2824,2523,2238,1125,2848,335,758,637,3235,305,663,519,869,1689,3311,3134,2456,939,0.27086,0.1237,0.10827,0.29184,0.32764,149.93141,0.20049,0.42832,0.54653,-12.04055,-8.59668,-13.07706,-7.67711,-12.66941,-10.39475,3.44388,1.40061,5.39996,5.39996,2.27466,1.21883,0,0,0,0,0,0,0,0,0,0,-12.04055,-8.59668,-13.07706,-7.67711,-12.66941,-10.39475,3.44388,1.40061,5.39996,5.39996,2.27466,1.21883,8543,6340,3657,2300,2280,4011,1750,1927,571,545
LR2018,Ndalu,Lungai,0.786043,34.91392,0.779332,34.90301,58137,scduma43,5.33,39,4.92,4.475,9.944134,1452.941,0,0,1.12054,1.07018,1.06141,0.44559,0.48094,1.06141,0.28363,0.27147,0.25916,-0.60542,-0.65076,-0.6807,0.77018,3.06868,3.72674,4.26362,0.46217,0.49756,0.54331,1713,2770,3359,3495,3165,2856,1603,749,859,418,1194,2168,3137,2884,2662,1423,3252,263,688,459,3574,273,679,464,964,1897,3435,3228,2804,1177,0.35744,0.02411,0.04096,0.32842,0.3604,0,0.44631,0.58583,0.61131,-13.73544,-8.33718,-14.22647,-10.01465,-16.04398,-9.77673,5.39825,1.64749,4.21182,4.21182,6.26724,1.64104,0,0,0,0,0,0,0,0,0,0,-13.73544,-8.33718,-14.22647,-10.01465,-16.04398,-9.77673,5.39825,1.64749,4.21182,4.21182,6.26724,1.64104,9949,6967,3026,2529,2257,4239,1677,1993,181,629
